"EventTerm","DefaultActionTerms"
"ALL","deploy;recover;service;other;startSample;stopSample;pointSample;maxDepth;abort;startLine;endLine;abortLine;start;stop;end;faultGPS;faultGyro;startCruise;endCruise;startTransect;endTransect;startStation;endStation;startSafetydrill;endSafetydrill;maxextensionWire;maxspeedWire;release"
"ACM","deploy;recover;surveyedPosition;other"
"ADCP","start;stop;service;other"
"ADCP150","start;stop;service;other"
"ADCP300","start;stop;service;other"
"ADCP600","start;stop;service;other"
"ADCP75","start;stop;service;other"
"ARGO","deploy;recover;abort;other"
"Air Temperature Sensor","start;stop;service;other"
"Air_HOCs","start;stop;abort;other"
"Airgun Array","deploy;recover;startLine;endLine;service;other"
"Anemometer","start;stop;abort;other"
"Ashtech","start;stop;fault;other"
"Barometer","start;stop;service;other"
"Box Corer","start;maxDepth;end;other"
"BucketSample","start;end;abort;other "
"CL-OBS","deploy;recover;abort;other"
"CNAV","start;stop;other"
"CTD","deploy;maxDepth;recover;abort;other"
"CTD911","deploy;maxDepth;recover;abort;other"
"Camera","pointSample;other"
"CenterBoard","deploy;recover;service;other"
"Data Acqsys","start;stop;service;other"
"DiaphramPump","start;stop;service;other"
"Drifter","deploy;recover;abort;other"
"EK80 broadband","start;stop;abort;other"
"EM-APEX","deploy;recover;abort;other"
"EM302","start;stop;abort;other"
"EM710","start;stop;abort;other"
"Echosounder12","start;stop;abort;other"
"Echosounder3.5","start;stop;abort;other"
"F185","start;stop;fault;other"
"FloatingSedTrap","deploy;recover;abort;other"
"Flowmeter","start;end;abort;other"
"Fluorometer","start;stop;startLine;endLine;abortLine;sampleLine;other"
"GNSS","start;stop;fault;other"
"GPS","start;stop;fault;other"
"Glider","deploy;recover;abort;other"
"Gravimeter","start;end;abort;other"
"GravityCore","start;maxDepth;end;other"
"GreeneBomber","deploy;recover;abort;other"
"Gyrocompass","start;stop;fault;other"
"HammarHead","deploy;recover;abort;other"
"Handline","start;end;other"
"HiRes Survey","deploy;recover;startLine;endLine;service;other"
"Humidometer","start;stop;service;other"
"Hydrophone","start;end;abort;other"
"ISP","deploy;recover;abort;other"
"InertialNavSys","start;stop;fault;other"
"J15-3 Sound Source","start;end;abort;other"
"Jason","deploy;recover;abort;other"
"LDEO TRM OBS","deploy;recover;abort;other"
"LDS logger","start;stop;other"
"LagrangianFloat","deploy;recover;abort;other"
"LargeVolumePump","startSample;stopSample;other"
"MICA","start;end;abort;other"
"MMP","startSample;stopSample;other"
"MOCNESS","deploy;maxDepth;recover;abort;other"
"MOCNESS1","deploy;maxDepth;recover;abort;other"
"MOCNESS10","deploy;maxDepth;recover;abort;other"
"MRU","start;stop;fault;other"
"Magnetometer","deploy;recover;abort;other"
"Magnetometer","start;end;abort;other"
"MeterNet","deploy;maxDepth;recover;abort;other"
"MeterologicalSensor","start;stop;service;other"
"Metstation","start;stop;service;other"
"MooredSedTrap","deploy;recover;abort;other"
"Mooring","deploy;service;recover;startLine;endLine;abortLine;other"
"Multi-core","start;maxDepth;end;other"
"Multibeam","start;stop;abort;other"
"Multicorer","deploy;maxDepth;recover;abort;other"
"NOAA SCS","start;stop;service;other"
"OBS","deploy;recover;abort;other"
"OBS_SIO","deploy;recover;abort;other"
"OBS_SIOAbalone","deploy;recover;abort;other"
"OBS_WHOI","deploy;recover;abort;other"
"OS150 ADCP","start;stop;service;other"
"ObserverBirds","start;end;other"
"ObserverMammals","start;end;other"
"Other","start;end;other"
"PCO2","start;stop;abort;other"
"PS18","start;stop;abort;other"
"Psychrometer","start;stop;abort;other"
"Pyranometer","start;stop;abort;other"
"REMUS","start;end;other"
"Radiometer","start;stop;abort;other"
"Raingauge","start;stop;abort;other"
"ReeveNet","deploy;maxDepth;recover;abort;other"
"SBE 39","deploy;recover;abort;other"
"SBE25","deploy;recover;abort;other"
"SOLOFloat","deploy;recover;abort;other"
"SVP drifter","deploy;recover;abort;other"
"SVPlusV2","deploy;recover;other"
"SeaFlowCyto","start;sample;end;abort;other"
"SeaSPY magnetometer","deploy;revcover;abort;other"
"SedimentCorer","start; maxDepth;end;other"
"SedimentTrap","deploy;recover;abort;other"
"Ship","startCruise;endCruise;other"
"SingleBeam","start;stop;abort;other"
"Slocum Glider","deploy;recover;abort;other"
"TSG","start;end;abort;other"
"Temp/Humidity Sensor","start;stop;abort;other"
"Thermometer","start;stop;abort;other"
"Thermosalinograph SBE21","start;end;abort;other"
"Thermosalinograph SBE45","start;end;abort;other"
"Timeserver","start;end;abort;other"
"Transmissometer","start;end;abort;other"
"Trawl Winch","maxtensionWire;maxspeedWire;maxWireout,other"
"Trawl Winch","maxtensionWire;maxspeedWire;maxWireout;other"
"Triaxus","start;end;abort;other"
"UserSpecified","start;end;abort;other"
"VPR","deploy;maxDepth;recover;abort;other"
"VentCam","start;end;abort;other"
"Winch","maxtensionWire;maxspeedWire;maxWireout;other"
"XBT","release;other"
"biologyPump","startSample;stopSample;other"
"mastCamera","start;end;other"
"winchCTD","maxtensionWire;maxspeedWire;maxWireout;other"
"winchHydro","maxtensionWire;maxspeedWire;maxWireout;other"
