VesselID,PreferredName,VocabID,VocabName,Edist,Modified
kn,Echosounder12,R2RE/9038,generic 12kHz echosounder,Yes,1/24/14
kn,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
kok,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
kok,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
kok,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
lmg,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
lmg,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
lmg,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
mgl,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
mgl,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
mgl,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
mv,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
mv,Thermosalinograph SBE45,L22/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
mv,ADCP75,L22/TOOL0362,Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP,Yes,1/24/14
mv,SeaSPY magnetometer,L22/TOOL0474,Marine Magnetics SeaSPY Marine Magnetometer,Yes,1/24/14
mv,ADCP150,R2RE/1004,Generic ADCP150,Yes,1/24/14
mv,Multibeam,R2RE/1008,Kongsberg (Simrad) EM 122 multibeam echosounder,Yes,1/24/14
mv,MeteorologicalSensor,R2RE/1015,Generic Meteorological Sensor,Yes,1/24/14
mv,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
mv,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
mv,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
mv,Echosounder12,R2RE/9038,generic 12kHz echosounder,Yes,1/24/14
mv,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
mv,XBT,R2RE/9040,Lockheed Martin Sippican XBT Fast Deep probe,Yes,1/24/14
mv,Gravimeter,R2RE/9041,Bell Aerospace BGM-3 gravity meter,Yes,1/24/14
mw,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
mw,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
mw,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
nbp,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
nbp,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
nbp,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
nh,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
nh,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
nh,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
oc,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
oc,Thermosalinograph SBE45,L22/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
oc,ADCP150,R2RE/1004,Generic ADCP150,Yes,1/24/14
oc,MeteorologicalSensor,R2RE/1015,Generic Meteorological Sensor,Yes,1/24/14
oc,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
oc,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
oc,XBT,R2RE/1031,Generic XBT,Yes,1/24/14
oc,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
oc,Echosounder12,R2RE/9038,generic 12kHz echosounder,Yes,1/24/14
oc,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
pe,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
pe,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
pe,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
ps,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
ps,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
ps,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
psea,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
psea,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
psea,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
pstar,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
pstar,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
pstar,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
qq,ADCP150,R2RE/1004,Generic ADCP150,Yes,1/24/14
qq,CTD911,L221/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
qq,Echosounder12,L221/TOOL0130,Simrad EA500 echosounder,Yes,1/24/14
qq,Echosounder3.5,L221/TOOLZZZ,unknown,Yes,1/24/14
qq,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
qq,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
qq,Thermosalinograph SBE45,L221/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
qq,XBT,R2RE/1031,Generic XBT,Yes,1/24/14
qq,MeteorologicalSensor,R2RE/1015,Generic Meterological Sensor,Yes,1/24/14
qq,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
rr,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
rr,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
rr,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
s,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
s,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
s,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
sav,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
sav,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
sav,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
sj,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
sj,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
sj,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
sp,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
sp,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
sp,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
sq,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
sq,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
sq,EM302, R2RE/1029,Kongsberg EM 302 multibeam echosounder,Yes,1/24/14
sq,EM710,R2RE/9091,Kongsberg EM EM710 multibeam echosounder,Yes,1/24/14
sq,PS18,R2RE/9092,Kongsberg Topas PS18,Yes,1/24/14
sq,OS150,R2RE/9093,Teledyne RDI Ocean Surveyor 150kHz vessel-mounted ADCP,Yes,1/24/14
sq,OS75,L22/TOOL0362,Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP,Yes,1/24/14
sq,Echosounder12,R2RE/9038,12 kHz echosounder of unknown make/model,Yes,1/24/14
sq,EK60,R2RE/9094,Simrad Split beam EK60,Yes,1/24/14
