CruiseId,"PersonId","FullName","ShortName","InstitutionId","ItemStatus"
KN210-04,"990014","Krista Longnecker","kLongnecker","WHOI"
KN210-04,"100024","Van Mooy, Benjamin","bVanMooy","WHOI"
KN210-04,"990002","Harriet Alexander","hAlexander","WHOI"
KN210-04,"990003","Maya Bhatia","mBhatia","UBC University of British Columbia"
KN210-04,"990004","Carly Buchwald","cBuchwald","WHOI"
KN210-04,"990005","Catherine Carmichael","cCarmichael","WHOI"
KN210-04,"990006","Hilary Close","hClose","University of Hawaii"
KN210-04,"990007","Colleen Durkin","cDurkin","WHOI"
KN210-04,"990008","Erin Eggleston","eEggleston","Cornell University"
KN210-04,"990009","Gwenn Hennon","gHennon","UW"
KN210-04,"990010","Adrienne Hoarfrost","aHoarfrost","UNC"
KN210-04,"990011","Evan Howard","eHoward","WHOI"
KN210-04,"990012","Sarah Hurley","sHurley","Harvard University"
KN210-04,"990013","Winn Johnson","wJohnson","WHOI"
KN210-04,"990015","Erin Markham","eMarkham","URI"
KN210-04,"990016","Justin Ossolinski","jOssolinski","WHOI"
KN210-04,"990017","Simon Prokes","sProkes","RECETOX in the Czech Republic "
KN210-04,"990018","Monica Torres Beltran","mTorresBeltran","UBC University of British Columbia"
KN210-04,"990000","Kujawinski, Elizabeth","eKujawinski","WHOI","2"
MGL1211,"990000","Shuoshuo Han","sHan","LDEO"
MGL1211,"990001","James Gibson","jGibson","LDEO"
MGL1211,"990002","Greg Horning","gHorning","WHOI"
MGL1211,"990003","Berta Biescas","bBiescas","Dalhousie University"
MGL1211,"990004","Milena  Marjanovic","mMarjanovic","LDEO"
MGL1211,"990005","Laurel Childress ","lChildress ","Northwestern"
MGL1211,"990006","Louise Watremez","lWatremez","Dalhousie University"
MGL1211,"990007","Guillermo Bornstein","gBornstein","Consejo Superior de Investigaciones Cientificas"
MGL1211,"990008","Aaron Farkas","aFarkas","Dalhousie University"
MGL1211,"990009","Matthias Delescluse","mDelescluse","ENS Paris"
MGL1211,"990010","Beatrice Parker ","bParker ","MIT"
MGL1211,"990011","Helen Janiszewski","hJaniszewski","LDEO"
MGL1211,"990012","Robert Steinhaus","rSteinhaus","LDEO"
MGL1211,"990013","David Martinson","dMartinson","LDEO"
MGL1211,"100252","Carbotte, Suzanne","sCarbotte","LDEO"
MGL1211,"103652","Carton, Helene","hCarton","LDEO"
MGL1211,"101555","Nedimovic, Mladen","mNedimovic","Dalhousie"
MV1206,"103741","Koczynski, Ted","tKoczynski","LDEO"
MV1206,"100138","Trehu, Anne","aTrehu","OSU"
NH1208,"101969","Lawson, Gareth","gLawson","WHOI"
NH1208,"990000","Wiebe, Peter","pWiebe","WHOI"
NH1208,"100814","Wang, Aleck Zhaohui","aWang","WHOI"
NH1208,"990001","Leocadio Blanco Bercial","lBercial","University of Connecticut (UConn)"
NH1208,"990002","Alex Bergan","aBergan","WHOI"
NH1208,"990009","Sophie Chu","sChu","WHOI"
NH1208,"990003","Nancy Copley","nCopley","WHOI"
NH1208,"990008","Katherine Hoering","kHoering","WHOI"
NH1208,"990012","Kelly Knorr","kKnorr","URI"
NH1208,"990004","Robert Levine","rLevine","WHOI"
NH1208,"990006","Amy Maas","aMaas","WHOI"
NH1208,"104633","Kevin Manganini","kManganini","WHOI"
NH1208,"990007", "Liza Roger", "lRoger", "UWA"
NH1208,"990005","Nick Tuttle","nTuttle","no affiliation"
NH1208,"990010","Britta Voss","bVoss","WHOI"
NH1208,"990011","Timothy White","tWhite","CUNY"
OC1206A,"100249","Canales, Juan Pablo","jCanales","WHOI"
OC1206A,"103652","Carton, Helene","hCarton","LDEO"
OC1206A,"100037","Lemmond, Peter","pLemmond","WHOI"
OC1206A,"100901","DuBois, David","dDuBois","WHOI"
OC1206A,"100370", "Ernest Aaron", "eAaron", "SIO"
OC1206A,"100968","Gibaud, Mark","mGibaud","SIO"
OC1206A,"990000","Scott Carey","sCarey","SIO"
OC1206A,"103825","Thai, Philip","pThai","SIO"
OC1206A,"990001","David Anderson","dAnderson","SIO"
OC1206A,"990002","Jhon Mojica-Moncada","jMojica-Moncada","CSIC, Spain"
