"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","CTD911"
"ADCP150","R2RE/1004","ADCP150"
"MeteorologicalSensor","R2RE/1015","MeterologicalSensor"
"Other","R2RE/1024","Other"
"Ship","R2RE/1027","Ship"
"XBT","R2RE/1031","XBT"
"Thermosalinograph SBE21","R2RE/1056","Thermosalinograph SBE21"
"Fluorometer","L22/TOOL0145","Fluorometer"
"Echosounder12","R2RE/9038","Echosounder12"
"Echosounder3.5","R2RE/9039","Echosounder3.5"
