"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","CTD911"
"ADCP75","L22/TOOL0362","ADCP75"
"Fluorometer","L22/TOOL0393","Fluorometer"
"MeteorologicalSensor","R2RE/1015","MeterologicalSensor"
"Other","R2RE/1024","Other"
"Ship","R2RE/1027","Ship"
"Thermosalinograph SBE21","R2RE/1056","Thermosalinograph SBE21"
"Echosounder3.5","R2RE/9039","Echosounder3.5"
"Echosounder12","R2RE/9038","Echosounder12"
