"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","CTD911"
"Thermosalinograph SBE45","L22/TOOL0190","Thermosalinograph SBE45"
"ADCP75","R2RE/1003","ADCP75"
"ADCP300","R2RE/1005","ADCP300"
"MeteorologicalSensor","R2RE/1015","MeterologicalSensor"
"Other","R2RE/1024","Other"
"Ship","R2RE/1027","Ship"
"XBT","R2RE/1031","XBT"
"Fluorometer","L22/TOOL0145","Fluorometer"
"Echosounder12","R2RE/9038","Echosounder12"
"Echosounder3.5","R2RE/9039","Echosounder3.5"
