DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm,,,DefaultInstrumentTerm,DeviceDescription,DeviceID,DeviceTerm
R2RE/9097,LDS Logger ,NaN,NaN,Acqsys,LDS is the LDEO Data System. It is an architecture and collection of software for the automated logging of real-time data sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2RE/9093,Teledyne RDI Ocean Surveyor 150kHz vessel-mounted ADCP,NaN,NaN,ADCP150,The Teledyne RDI 150kHz Ocean Surveyor vessel-mounted acoustic Doppler current profiler is designed for continuous current profiling from a moving ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2RE/1005,ADCP300,NaN,NaN,ADCP300,"A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, 0.2cm/s. The instrument operates effectively over a temperature range of -5C to 45C and with a tilt of up to 15 deg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L22/TOOL0294,Teledyne RDI Workhorse Sentinel-600 ADCP,NaN,NaN,ADCP600,An ADCP designed for self-contained use on moorings or vessel mounting. It has a patented 600 kHz broadband signal and a standard depth rating of 200 metres. It operates effectively between temperatures of -5 to 45 C and a range of up to 70m with a depth cell size of 4m.Velocity accuracy is +/- 0.3% or 0.3 cm/sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2RE/1003,ADCP75,NaN,NaN,ADCP75,"An Acoustic Doppler Current Profiler, or Acoustic Doppler Profiler, is often referred to with the acronym ADCP. Scientists use the instrument to measure how fast water is moving across an entire water column. An ADCP anchored to the seafloor can measure current speed not just at the bottom, but also at equal intervals all the way up to the surface. The instrument can also be mounted horizontally on seawalls or bridge pilings in rivers and canals to measure the current profile from shore to shore, and to the bottoms of ships to take constant current measurements as the boats move. In very deep areas, they can be lowered on a cable from the surface.  The ADCP measures water currents with sound (75kHz), using a principle of sound waves called the Doppler effect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L22/TOOL0362,Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP,NaN,NaN,ADCP75,"The Teledyne RDI 75kHz Ocean Surveyor vessel-mounted acoustic Doppler current profiler is designed for continuous current profiling from a moving ship. This ADCP provides a vertical cell resolution of 8 or 16 m, a maximum range of 310-700 m, precision of 9-30 cm/s, velocity range of -5 to 9 m/s, velocity accuracy of +/-0.5 cm/s and a maximum ping rate of 0.7. It can be used in either narrowband or broadband mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
